Date,Open,High,Low,Close,Adj Close,Volume
2000-06-06,161.904785,161.904785,147.619064,157.142868,114.508636,1133999
2000-06-07,147.619064,157.142868,147.619064,157.142868,114.508636,3556874
2000-06-08,157.142868,166.666687,157.142868,157.142868,114.508636,15364123
2000-06-09,161.904785,166.666687,157.142868,161.904785,117.978592,7147874
2000-06-12,161.904785,166.666687,157.142868,157.142868,114.508636,3929624
2000-06-13,166.666687,171.428589,161.904785,161.904785,117.978592,38498246
2000-06-14,166.666687,176.190491,166.666687,176.190491,128.388489,23953122
2000-06-15,176.190491,176.190491,176.190491,176.190491,128.388489,0
2000-06-16,176.190491,185.714310,176.190491,176.190491,128.388489,61015493
2000-06-19,180.952393,185.714310,176.190491,176.190491,128.388489,28433997
2000-06-20,180.952393,185.714310,180.952393,180.952393,131.858444,19338373
2000-06-21,185.714310,200.000015,185.714310,195.238113,142.268326,115232238
2000-06-22,195.238113,204.761932,190.476212,195.238113,142.268326,81508866
2000-06-23,195.238113,200.000015,190.476212,200.000015,145.738266,24635622
2000-06-26,209.523834,233.333359,204.761932,219.047638,159.618134,229301602
2000-06-27,223.809540,228.571457,209.523834,214.285736,156.148163,42278245
2000-06-28,214.285736,219.047638,209.523834,214.285736,156.148163,29788497
2000-06-29,214.285736,214.285736,204.761932,204.761932,149.208221,23580372
2000-06-30,204.761932,209.523834,200.000015,209.523834,152.678192,10591873
2000-07-03,209.523834,210.476212,198.095261,201.904785,147.126236,26454747
2000-07-04,198.095261,214.285736,182.857162,214.285736,156.148163,71846242
2000-07-05,204.761932,221.904785,204.761932,214.285736,156.148163,77663242
2000-07-06,214.285736,218.095261,207.619064,212.380966,154.760178,21501372
2000-07-07,212.380966,214.285736,201.904785,204.761932,149.208221,9337124
2000-07-10,209.523834,212.380966,203.809540,203.809540,148.514221,7174124
2000-07-11,205.714310,209.523834,200.952408,201.904785,147.126236,11662873
2000-07-12,204.761932,206.666687,200.000015,200.952408,146.432266,31665371
2000-07-13,200.952408,201.904785,197.142883,197.142883,143.656296,6712124
2000-07-14,200.000015,200.000015,197.142883,197.142883,143.656296,2884874
2000-07-17,200.000015,205.714310,200.000015,200.000015,147.447784,23042247
2000-07-18,200.000015,202.857162,200.000015,202.857162,149.554199,5935124
2000-07-19,200.000015,202.857162,200.000015,202.857162,149.554199,5935124
2000-07-20,204.761932,206.666687,200.000015,200.000015,147.447784,26291997
2000-07-21,200.952408,202.857162,199.047638,200.000015,147.447784,4633124
2000-07-24,200.000015,201.904785,193.333359,193.333359,142.532898,14193373
2000-07-25,193.333359,193.333359,193.333359,193.333359,142.532898,0
2000-07-26,190.476212,193.333359,189.523834,191.428589,141.128616,9486749
2000-07-27,192.380966,197.142883,192.380966,196.190491,144.639252,17401123
2000-07-28,196.190491,198.095261,193.333359,196.190491,144.639252,5958749
2000-07-31,198.095261,198.095261,189.523834,190.476212,140.426483,14883748
2000-08-01,193.333359,194.285736,189.523834,191.428589,141.128616,12883498
2000-08-02,190.476212,190.476212,189.523834,189.523834,139.724411,6780374
2000-08-03,190.476212,191.428589,189.523834,190.476212,140.426483,6110999
2000-08-04,191.428589,192.380966,190.476212,192.380966,141.830765,4391624
